"FacName","FacStreet","FacCity","FacState","RegistryID","lat","lon","FacSNCFlg","FacQtrsWithNC","FacInspectionCount","Over80CountUs","FacFormalActionCount","FacMapFlg","DFR URL","id","RAW_D_MINOR","RAW_D_INCOME","RAW_D_LESSHS","RAW_D_LING","RAW_D_UNDER5","RAW_D_OVER64","RAW_D_UNEMPLOYED","RAW_D_INDEX","RAW_E_LEAD","RAW_E_DIESEL","RAW_E_CANCER","RAW_E_RESP","RAW_E_TRAFFIC","RAW_E_NPDES","RAW_E_NPL","RAW_E_RMP","RAW_E_TSDF","RAW_E_O3","RAW_E_PM25","RAW_E_UST","S_D_MINOR","S_D_INCOME","S_D_LESSHS","S_D_LING","S_D_UNDER5","S_D_OVER64","S_D_UNEMPLOYED","S_D_INDEX","S_E_LEAD","S_E_DIESEL","S_E_CANCER","S_E_RESP","S_E_TRAFFIC","S_E_NPDES","S_E_NPL","S_E_RMP","S_E_TSDF","S_E_O3","S_E_PM25","S_E_UST","S_D_MINOR_PER","S_D_INCOME_PER","S_D_LESSHS_PER","S_D_LING_PER","S_D_UNDER5_PER","S_D_OVER64_PER","S_D_UNEMPLOYED_PER","S_D_INDEX_PER","S_E_LEAD_PER","S_E_DIESEL_PER","S_E_CANCER_PER","S_E_RESP_PER","S_E_TRAFFIC_PER","S_E_NPDES_PER","S_E_NPL_PER","S_E_RMP_PER","S_E_TSDF_PER","S_E_O3_PER","S_E_PM25_PER","S_E_UST_PER","S_P_LEAD","S_P_DIESEL","S_P_CANCER","S_P_RESP","S_P_TRAFFIC","S_P_NPDES","S_P_NPL","S_P_RMP","S_P_TSDF","S_P_O3","S_P_PM25","S_P_UST","R_D_MINOR","R_D_INCOME","R_D_LESSHS","R_D_LING","R_D_UNDER5","R_D_OVER64","R_D_UNEMPLOYED","R_D_INDEX","R_E_LEAD","R_E_DIESEL","R_E_CANCER","R_E_RESP","R_E_TRAFFIC","R_E_NPDES","R_E_NPL","R_E_RMP","R_E_TSDF","R_E_O3","R_E_PM25","R_E_UST","R_D_MINOR_PER","R_D_INCOME_PER","R_D_LESSHS_PER","R_D_LING_PER","R_D_UNDER5_PER","R_D_OVER64_PER","R_D_UNEMPLOYED_PER","R_D_INDEX_PER","R_E_LEAD_PER","R_E_DIESEL_PER","R_E_CANCER_PER","R_E_RESP_PER","R_E_TRAFFIC_PER","R_E_NPDES_PER","R_E_NPL_PER","R_E_RMP_PER","R_E_TSDF_PER","R_E_O3_PER","R_E_PM25_PER","R_E_UST_PER","R_P_LEAD","R_P_DIESEL","R_P_CANCER","R_P_RESP","R_P_TRAFFIC","R_P_NPDES","R_P_NPL","R_P_RMP","R_P_TSDF","R_P_O3","R_P_PM25","R_P_UST","N_D_MINOR","N_D_INCOME","N_D_LESSHS","N_D_LING","N_D_UNDER5","N_D_OVER64","N_D_UNEMPLOYED","N_D_INDEX","N_E_LEAD","N_E_DIESEL","N_E_CANCER","N_E_RESP","N_E_TRAFFIC","N_E_NPDES","N_E_NPL","N_E_RMP","N_E_TSDF","N_E_O3","N_E_PM25","N_E_UST","N_D_MINOR_PER","N_D_INCOME_PER","N_D_LESSHS_PER","N_D_LING_PER","N_D_UNDER5_PER","N_D_OVER64_PER","N_D_UNEMPLOYED_PER","N_D_INDEX_PER","N_E_LEAD_PER","N_E_DIESEL_PER","N_E_CANCER_PER","N_E_RESP_PER","N_E_TRAFFIC_PER","N_E_NPDES_PER","N_E_NPL_PER","N_E_RMP_PER","N_E_TSDF_PER","N_E_O3_PER","N_E_PM25_PER","N_E_UST_PER","N_P_LEAD","N_P_DIESEL","N_P_CANCER","N_P_RESP","N_P_TRAFFIC","N_P_NPDES","N_P_NPL","N_P_RMP","N_P_TSDF","N_P_O3","N_P_PM25","N_P_UST","stateAbbr","stateName","epaRegion","totalPop","NUM_NPL","NUM_TSDF","statLayerCount","statLayerZeroPopCount","weightLayerCount","timeSeconds","distance","unit","statlevel","inputAreaMiles","lon","lat","pdfurl"
"COLONIAL RUBBER","706 OAKWOOD ST","RAVENNA","OH",110009640861,41.16556,-81.25543,"Y",11,2,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110009640861",44,12,43,9,1,5,18,9,28,0.46,0.263,20,0.3,250,0.00083,0.05,1.5,2.3,44,8.87,4.9,21,31,10,1,6,17,5,26,0.4,0.273,24,0.3,370,0.33,0.095,0.72,1.5,44.5,9.13,2.6,52,72,56,69,40,58,80,66,63,51,63,89,63,41,52,85,79,37,32,82,49,49,58,53,32,44,47,14,21,55,55,30,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,44,76,58,61,38,62,82,63,65,55,60,79,50,43,42,82,74,43,43,72,43,43,55,48,39,40,49,16,24,51,51,32,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,24,72,49,46,38,65,81,45,75,54,32,47,52,47,42,85,74,67,57,77,24,32,43,39,28,29,36,10,17,38,37,22,"OH","OHIO",5,19556,0,4,20,0,743,0.5217055,2.5,9035,"blockgroup",19.63,-81.25543,41.16556,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-81.25543,""y"":41.16556}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"COOPER-STANDARD AUTOMOTIVE INC","250 OAK GROVE DRIVE","MOUNT STERLING","KY",110000378939,38.09852,-83.89916,"Y",11,31,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000378939",45,8,47,18,1,9,14,2,28,0.053,0.143,27,0.3,140,0.17,0.028,0.74,0.65,40.6,8.32,1.1,15,37,14,1,6,16,6,26,0.23,0.226,29,0.36,380,1.3,0.039,0.67,0.77,42.4,8.9,1.1,48,69,70,78,81,41,24,62,20,36,75,46,49,90,51,72,69,19,23,67,69,57,60,60,63,6,50,40,33,58,58,40,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,15,73,74,59,83,45,22,40,43,26,63,27,50,93,41,75,73,62,58,50,39,43,44,44,46,3,40,30,23,41,41,37,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,17,77,76,52,81,49,23,46,29,24,69,47,40,87,24,69,48,35,42,48,47,46,46,45,51,6,47,33,34,46,45,38,"KY","KENTUCKY",4,3027,0,2,4,0,73,0.276938,2.5,9035,"blockgroup",19.63,-83.89916,38.09852,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-83.89916,""y"":38.09852}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"COROPLAST , LLC","201 INDUSTRIAL PARK ROAD","VANCEBURG","KY",110032816852,38.59976,-83.27326,"Y",11,5,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110032816852",46,3,50,24,0,6,15,7,27,0.16,0.104,30,0.3,26,0.047,0.024,0.05,0.028,40.6,8.01,0.94,15,37,14,1,6,16,6,26,0.23,0.226,29,0.36,380,1.3,0.039,0.67,0.77,42.4,8.9,1.1,22,74,85,73,50,48,70,60,50,14,97,46,24,84,45,9,10,19,15,64,65,65,57,62,68,15,55,70,69,59,60,45,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,5,77,86,51,54,51,69,39,69,11,81,27,21,89,37,5,3,62,43,47,35,47,42,45,49,8,43,51,52,42,43,40,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,6,81,85,45,52,55,72,45,48,13,82,47,15,80,21,4,3,35,33,45,44,50,43,46,53,13,49,54,55,47,47,40,"KY","KENTUCKY",4,1845,0,0,6,0,128,0.2879519,2.5,9035,"blockgroup",19.63,-83.27326,38.59976,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-83.27326,""y"":38.59976}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"CORROSION COMPANIES INC","3725 S GRANT ST, STE 3","WASHOUGAL","WA",110032663311,45.569721,-122.330276,"Y",12,2,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110032663311",47,15,20,6,1,6,15,4,18,0.2,0.186,33,0.5,240,0.034,0.18,1.6,1.2,37.8,7.37,2.5,31,26,9,4,6,15,5,29,0.22,0.336,35,0.52,710,0.021,0.19,0.65,2.2,35.3,7.86,6.1,24,45,51,46,55,57,46,26,62,28,58,72,48,98,72,89,56,77,29,57,25,34,22,17,31,0,11,2,20,15,19,22,28,28,9,3,6,16,5,28,0.22,0.312,33,0.47,600,0.53,0.13,0.66,1.7,37.2,8.17,4.5,29,38,48,51,56,55,44,26,61,35,67,76,52,94,82,88,64,64,25,62,25,32,22,18,30,3,8,4,18,19,23,21,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,28,36,38,48,57,54,44,25,53,35,87,95,51,78,83,87,60,20,18,63,25,23,14,9,24,10,7,3,14,21,21,15,"WA","WASHINGTON",10,14800,0,2,12,0,318,0.2659541,2.5,9035,"blockgroup",19.63,-122.330276,45.569721,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-122.330276,""y"":45.569721}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"COUNTY LAND DEVELOPMENT LANDFILL (0250000828)","9960 S RANGE RD","SALEM","OH",110030750505,40.946697,-80.845084,"Y",4,1,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110030750505",48,6,23,7,0,4,25,5,15,0.38,0.166,20,0.3,66,0.048,0.29,0.23,0.38,44.1,8.74,1.1,21,31,10,1,6,17,5,26,0.4,0.273,24,0.3,370,0.33,0.095,0.72,1.5,44.5,9.13,2.6,33,42,46,69,28,86,61,33,55,17,63,89,32,82,94,43,39,39,22,49,28,52,48,41,51,11,6,48,43,44,45,34,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,26,45,48,59,26,88,62,31,58,27,60,79,24,77,91,39,35,45,36,45,23,45,45,37,54,13,8,46,43,40,41,35,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,13,41,40,45,26,88,57,18,70,30,32,47,26,80,91,42,40,68,54,47,13,34,36,32,40,9,6,32,31,29,29,25,"OH","OHIO",5,3746,0,0,8,0,123,0.4009788,2.5,9035,"blockgroup",19.63,-80.845084,40.946697,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-80.845084,""y"":40.946697}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"CP CONVERTERS INC","15 GRUMBACHER ROAD","YORK","PA",110000818642,40.034318,-76.742747,"Y",4,39,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000818642",49,16,18,9,1,6,16,3,17,0.25,0.287,30,0.3,290,10,0.15,1.7,4.4,41,9.12,1.6,24,28,9,2,6,18,5,26,0.47,0.269,31,0.32,580,66,0.19,0.81,1.4,42.1,8.72,3.4,56,35,56,61,65,41,37,43,28,58,84,67,53,92,65,85,92,28,66,55,41,11,14,15,34,3,16,3,1,14,12,23,33,27,10,3,6,16,5,30,0.35,0.267,30,0.34,680,33,0.15,0.63,1.9,41.9,8.2,2.7,39,40,54,58,61,49,37,31,47,59,85,52,52,95,72,89,88,37,85,59,25,7,10,12,27,1,9,1,1,10,8,16,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,30,31,48,47,57,56,36,23,58,59,83,47,55,97,78,87,86,38,64,54,14,7,7,11,21,0,6,1,1,10,7,15,"PA","PENNSYLVANIA",3,16683,0,11,20,0,304,0.566912,2.5,9035,"blockgroup",19.63,-76.742747,40.034318,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-76.742747,""y"":40.034318}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"CRAWFORD INDUSTRIES LLC","1414 CRAWFORD DR","CRAWFORDSVILLE","IN",110003073566,40.050302,-86.879609,"Y",2,2,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110003073566",50,13,42,13,3,6,17,6,27,0.49,0.22,20,0.28,670,0.00087,0.022,0.72,2.4,44.1,8.88,3.5,21,32,11,2,6,15,5,26,0.34,0.28,23,0.3,540,0.34,0.17,0.82,1.6,44.1,9.2,2.8,51,71,68,83,53,64,68,65,73,36,67,75,77,41,5,63,77,50,32,73,38,65,65,64,27,43,71,30,28,64,64,27,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,47,74,76,79,57,60,66,63,67,43,60,69,75,43,11,63,75,45,43,65,39,58,63,62,24,42,66,27,26,61,60,30,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,26,71,65,65,56,63,61,45,76,44,32,41,75,48,19,68,75,68,57,70,21,43,49,48,17,31,50,18,18,46,45,20,"IN","INDIANA",5,16554,0,3,20,0,679,0.4159274,2.5,9035,"blockgroup",19.63,-86.879609,40.050302,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-86.879609,""y"":40.050302}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"CREATIVE LIQUID COATINGS, INC.","2620 MARION DRIVE","KENDALLVILLE","IN",110029239624,41.440638,-85.218049,"Y",12,22,0,1,"Y","https://echo.epa.gov/detailed-facility-report?fid=110029239624",51,7,30,16,2,6,16,3,18,0.44,0.214,20,0.2,250,0.027,0.027,1,1.6,44.4,8.61,4.9,21,32,11,2,6,15,5,26,0.34,0.28,23,0.3,540,0.34,0.17,0.82,1.6,44.1,9.2,2.8,34,53,76,79,55,60,45,43,69,35,67,16,51,73,10,73,65,68,9,80,28,42,42,49,28,18,57,18,17,39,41,15,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,29,58,82,75,59,56,45,43,63,41,60,26,51,72,17,72,64,51,31,72,28,37,40,46,24,18,51,16,15,35,36,18,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,15,54,72,60,58,60,40,27,73,42,32,14,52,76,24,76,66,70,50,77,16,27,33,38,17,12,38,10,10,25,26,11,"IN","INDIANA",5,7940,0,4,10,0,257,0.3508992,2.5,9035,"blockgroup",19.63,-85.218049,41.440638,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-85.218049,""y"":41.440638}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"CRESLINE NORTHWEST LLC","223 MAURIN RD","CHEHALIS","WA",110015548086,46.628281,-122.917571,"Y",12,3,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110015548086",52,17,29,8,0,6,21,5,23,0.34,0.174,29,0.39,310,0.00027,0.73,0.33,0.16,32.5,6.98,4.3,31,26,9,4,6,15,5,29,0.22,0.336,35,0.52,710,0.021,0.19,0.65,2.2,35.3,7.86,6.1,29,63,61,43,53,79,54,43,75,27,42,28,53,74,95,56,20,35,18,66,17,53,50,52,32,15,4,26,58,47,49,18,28,28,9,3,6,16,5,28,0.22,0.312,33,0.47,600,0.53,0.13,0.66,1.7,37.2,8.17,4.5,35,57,58,47,53,77,53,43,76,34,52,39,57,59,97,56,30,22,17,72,17,49,48,49,32,28,2,29,53,50,50,17,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,31,52,47,45,54,77,53,36,66,32,76,77,57,38,97,51,25,6,12,75,19,38,34,32,25,36,2,26,42,43,41,11,"WA","WASHINGTON",10,5996,1,0,9,0,265,0.3489515,2.5,9035,"blockgroup",19.63,-122.917571,46.628281,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-122.917571,""y"":46.628281}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"CRYOVAC SIMPSONVILLE","803 N MAPLE ST","SIMPSONVILLE","SC",110042037408,34.74699,-82.26385,"Y",12,33,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110042037408",53,28,17,7,2,6,16,3,22,0.05,0.283,31,0.4,54,0.045,0.32,0.89,3.4,40.2,8.36,3.4,36,35,12,1,6,17,6,36,0.14,0.211,31,0.42,52,0.47,0.092,0.45,1,37.3,7.74,2.6,46,19,34,78,59,51,32,29,40,76,86,75,73,87,96,86,94,78,90,77,31,14,20,20,15,7,3,6,3,19,19,8,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,45,19,33,65,59,54,32,29,42,63,83,78,32,88,95,78,97,59,60,73,30,11,15,14,28,5,1,5,0,15,15,6,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,46,29,39,58,57,57,34,36,28,59,84,81,24,79,92,73,81,33,43,70,41,11,11,10,35,9,3,6,3,16,14,7,"SC","SOUTH CAROLINA",4,28676,0,4,20,0,563,0.4829198,2.5,9035,"blockgroup",19.63,-82.26385,34.74699,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-82.26385,""y"":34.74699}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"CUSTOM MARBLE AND ONYX","201 WINMOORE WAY","MODESTO","CA",110017403022,37.60534,-120.99196,"Y",12,251,10,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110017403022",54,81,57,38,16,9,8,14,69,0.3,0.416,30,0.47,720,0.0084,0.19,4,2,55.7,15.6,2.8,63,31,17,9,6,14,6,47,0.29,0.33,31,0.43,1300,74,0.18,1.1,5.2,48.1,11.7,3.7,67,87,86,79,77,26,91,82,59,69,76,84,64,44,81,94,30,72,96,59,80,84,80,84,79,60,87,95,61,85,89,78,60,31,16,8,6,15,6,46,0.23,0.33,30,0.41,1300,59,0.15,1,4.4,49.6,10.8,3.3,70,86,88,82,77,26,91,83,66,67,75,85,67,43,84,95,38,69,96,62,84,85,82,85,80,62,89,95,67,85,90,80,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,83,87,95,90,79,19,92,89,63,80,83,90,76,68,84,97,71,93,99,66,91,92,90,93,89,85,94,98,88,95,96,87,"CA","CALIFORNIA",9,85423,0,4,60,0,1086,0.5769237,2.5,9035,"blockgroup",19.63,-120.99196,37.60534,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-120.99196,""y"":37.60534}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"DAK AMERICAS, LLC","1561 NW 11TH ST","RICHMOND","IN",110070519541,39.85181,-84.91793,"Y",1,0,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110070519541",55,18,45,16,2,6,18,6,31,0.61,0.23,20,0.3,600,0.022,0.018,2.6,1.7,44.6,9.13,6.2,21,32,11,2,6,15,5,26,0.34,0.28,23,0.3,540,0.34,0.17,0.82,1.6,44.1,9.2,2.8,60,76,76,73,48,68,73,71,82,41,67,88,74,71,1,93,66,78,52,84,54,65,65,61,43,31,72,16,37,63,63,38,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,54,78,82,68,53,64,71,68,76,46,60,79,73,71,8,93,65,55,53,77,52,58,63,59,41,30,68,14,34,60,60,40,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,32,75,72,53,52,67,67,51,83,47,32,47,72,75,15,93,66,71,64,82,30,43,49,46,30,21,51,9,24,45,45,29,"IN","INDIANA",5,20332,0,3,20,0,621,0.4969089,2.5,9035,"blockgroup",19.63,-84.91793,39.85181,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-84.91793,""y"":39.85181}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"DART CONTAINER CORP","1400 E VICTOR RD","LODI","CA",110001199845,38.13768,-121.2467,"Y",10,533,8,3,"Y","https://echo.epa.gov/detailed-facility-report?fid=110001199845",56,60,47,27,11,8,13,9,53,0.45,0.359,30,0.49,920,1.7e-05,0.049,3.4,1.9,50,15.1,3.8,63,31,17,9,6,14,6,47,0.29,0.33,31,0.43,1300,74,0.18,1.1,5.2,48.1,11.7,3.7,43,77,74,66,74,56,77,61,71,58,76,90,69,10,29,93,29,59,93,67,77,65,61,67,78,37,54,89,52,63,68,77,60,31,16,8,6,15,6,46,0.23,0.33,30,0.41,1300,59,0.15,1,4.4,49.6,10.8,3.3,47,76,76,70,74,55,77,63,76,57,75,92,71,11,35,94,37,47,94,71,81,67,65,71,80,40,59,91,58,65,72,79,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,72,77,87,84,76,46,80,77,75,72,83,93,81,20,41,96,70,87,99,72,89,83,80,85,89,66,77,96,83,83,88,86,"CA","CALIFORNIA",9,38682,0,2,30,0,1110,0.5998934,2.5,9035,"blockgroup",19.63,-121.2467,38.13768,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-121.2467,""y"":38.13768}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"DART CONTAINER CORP OF PENNSYLVANIA","60 E MAIN ST","LEOLA","PA",110000333817,40.08933,-76.17814,"Y",1,50,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000333817",57,18,27,26,7,9,13,5,22,0.33,0.275,30,0.3,230,0.0011,0.044,0.7,0.74,41.7,9.34,0.87,24,28,9,2,6,18,5,26,0.47,0.269,31,0.32,580,66,0.19,0.81,1.4,42.1,8.72,3.4,60,55,93,89,86,31,58,60,38,55,84,67,47,42,19,63,53,37,83,44,41,30,35,38,34,41,53,22,27,39,35,37,33,27,10,3,6,16,5,30,0.35,0.267,30,0.34,680,33,0.15,0.63,1.9,41.9,8.2,2.7,42,58,93,88,84,39,58,47,56,56,85,52,47,56,24,72,53,45,93,48,24,24,29,34,28,30,42,14,22,31,26,28,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,32,49,87,78,81,46,56,36,65,57,83,47,50,50,37,67,51,44,70,43,14,19,21,27,21,26,30,12,20,25,22,24,"PA","PENNSYLVANIA",3,10001,0,1,9,0,189,0.3039515,2.5,9035,"blockgroup",19.63,-76.17814,40.08933,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-76.17814,""y"":40.08933}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"DART CONTAINER CORPORATION OF CALIFORNIA","150 SOUTH MAPLE STREET","CORONA","CA",110017410960,33.886667,-117.604722,"Y",12,44,10,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110017410960",58,70,33,19,8,7,10,6,51,0.11,0.377,30,0.4,1600,0.29,0.05,0.98,4.7,58.4,13.2,2.6,63,31,17,9,6,14,6,47,0.29,0.33,31,0.43,1300,74,0.18,1.1,5.2,48.1,11.7,3.7,53,58,62,56,63,36,55,57,40,62,76,66,78,64,30,64,57,79,75,57,63,67,60,60,86,71,54,73,71,67,64,75,60,31,16,8,6,15,6,46,0.23,0.33,30,0.41,1300,59,0.15,1,4.4,49.6,10.8,3.3,57,58,65,61,63,35,55,59,49,60,75,69,80,66,35,69,65,79,80,61,68,69,64,64,87,74,59,76,76,69,68,78,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,77,58,77,79,66,27,63,74,42,75,83,81,89,89,42,75,87,96,97,64,80,84,80,80,94,93,77,87,92,86,86,85,"CA","CALIFORNIA",9,74719,0,7,48,0,632,0.5109317,2.5,9035,"blockgroup",19.63,-117.604722,33.886667,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-117.604722,""y"":33.886667}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"DARTCO OF TEXAS WAXAHACHIE SITE","850 SOLON ROAD","WAXAHACHIE","TX",110001867132,32.426944,-96.85,"Y",12,32,0,1,"Y","https://echo.epa.gov/detailed-facility-report?fid=110001867132",59,32,23,10,2,6,13,3,28,0.16,0.231,30,0.36,380,4.9e-05,0.032,0.81,1.3,40.7,9.51,1.9,58,34,16,8,7,12,5,46,0.15,0.214,31,0.36,510,0.33,0.084,0.92,0.72,40,9.57,2.2,23,37,42,41,46,62,38,26,71,57,83,75,66,18,39,64,82,56,35,59,19,18,19,19,10,43,20,10,3,19,19,12,52,36,15,6,7,13,5,44,0.16,0.219,32,0.37,470,0.5,0.08,0.83,0.8,41.1,9.32,2,31,33,42,51,49,55,37,29,68,58,78,67,69,21,42,67,79,51,44,63,23,18,20,21,9,48,20,10,5,20,19,12,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,50,42,53,60,58,44,37,46,48,47,83,68,62,26,29,71,61,36,74,58,45,30,26,28,16,65,36,14,16,31,26,22,"TX","TEXAS",6,22664,0,4,18,0,508,0.4349267,2.5,9035,"blockgroup",19.63,-96.85,32.426944,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-96.85,""y"":32.426944}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"DECATUR PLASTIC PRODUCTS FLOCKING DIVISION","3250 N STATE HWY 7","NORTH VERNON","IN",110064340057,39.03279,-85.66095,"Y",5,11,0,2,"Y","https://echo.epa.gov/detailed-facility-report?fid=110064340057",60,6,37,14,0,9,17,4,22,0.076,0.165,20,0.3,360,0.0073,0.042,0.13,0.86,43,8.78,1.2,21,32,11,2,6,15,5,26,0.34,0.28,23,0.3,540,0.34,0.17,0.82,1.6,44.1,9.2,2.8,32,64,72,66,81,66,55,53,21,16,67,88,60,60,27,14,49,3,19,53,59,46,41,35,28,24,47,59,31,39,39,31,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,27,68,78,60,83,61,54,52,18,27,60,79,60,62,34,18,48,27,38,47,57,41,39,31,24,24,41,54,29,34,34,33,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,13,64,68,45,81,64,49,34,34,30,32,47,60,66,36,22,53,58,55,49,34,30,32,27,17,16,30,38,20,25,24,23,"IN","INDIANA",5,7420,0,2,8,0,267,0.3539301,2.5,9035,"blockgroup",19.63,-85.66095,39.03279,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-85.66095,""y"":39.03279}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
