"id","EJScreenPDF","EJScreenMAP","siteid","sitename","lon","lat","pctmin","pctlowinc","pctlths","pctlingiso","pctunder5","pctover64","pctunemployed","VSI.eo","pctpre1960","dpm","cancer","resp","traffic.score","proximity.npdes","proximity.npl","proximity.rmp","proximity.tsdf","o3","pm","ust","state.avg.pctmin","state.avg.pctlowinc","state.avg.pctlths","state.avg.pctlingiso","state.avg.pctunder5","state.avg.pctover64","state.avg.unemployed","state.avg.VSI.eo","state.avg.pctpre1960","state.avg.dpm","state.avg.cancer","state.avg.resp","state.avg.traffic.score","state.avg.proximity.npdes","state.avg.proximity.npl","state.avg.proximity.rmp","state.avg.proximity.tsdf","state.avg.o3","state.avg.pm","state.avg.ust","state.pctile.pctmin","state.pctile.pctlowinc","state.pctile.pctlths","state.pctile.pctlingiso","state.pctile.pctunder5","state.pctile.pctover64","state.pctile.unemployed","state.pctile.VSI.eo","state.pctile.pctpre1960","state.pctile.dpm","state.pctile.cancer","state.pctile.resp","state.pctile.traffic.score","state.pctile.proximity.npdes","state.pctile.proximity.npl","state.pctile.proximity.rmp","state.pctile.proximity.tsdf","state.pctile.o3","state.pctile.pm","state.pctile.ust","state.pctile.EJ.DISPARITY.pctpre1960.eo","state.pctile.EJ.DISPARITY.dpm.eo","state.pctile.EJ.DISPARITY.cancer.eo","state.pctile.EJ.DISPARITY.resp.eo","state.pctile.EJ.DISPARITY.traffic.score.eo","state.pctile.EJ.DISPARITY.proximity.npdes.eo","state.pctile.EJ.DISPARITY.proximity.npl.eo","state.pctile.EJ.DISPARITY.proximity.rmp.eo","state.pctile.EJ.DISPARITY.proximity.tsdf.eo","state.pctile.EJ.DISPARITY.o3.eo","state.pctile.EJ.DISPARITY.pm.eo","state.pctile.ust","region.avg.pctmin","region.avg.pctlowinc","region.avg.pctlths","region.avg.pctlingiso","region.avg.pctunder5","region.avg.pctover64","region.avg.unemployed","region.avg.VSI.eo","region.avg.pctpre1960","region.avg.dpm","region.avg.cancer","region.avg.resp","region.avg.traffic.score","region.avg.proximity.npdes","region.avg.proximity.npl","region.avg.proximity.rmp","region.avg.proximity.tsdf","region.avg.o3","region.avg.pm","region.avg.ust","region.pctile.pctmin","region.pctile.pctlowinc","region.pctile.pctlths","region.pctile.pctlingiso","region.pctile.pctunder5","region.pctile.pctover64","region.pctile.unemployed","region.pctile.VSI.eo","region.pctile.pctpre1960","region.pctile.dpm","region.pctile.cancer","region.pctile.resp","region.pctile.traffic.score","region.pctile.proximity.npdes","region.pctile.proximity.npl","region.pctile.proximity.rmp","region.pctile.proximity.tsdf","region.pctile.o3","region.pctile.pm","region.pctile.ust","region.pctile.EJ.DISPARITY.pctpre1960.eo","region.pctile.EJ.DISPARITY.dpm.eo","region.pctile.EJ.DISPARITY.cancer.eo","region.pctile.EJ.DISPARITY.resp.eo","region.pctile.EJ.DISPARITY.traffic.score.eo","region.pctile.EJ.DISPARITY.proximity.npdes.eo","region.pctile.EJ.DISPARITY.proximity.npl.eo","region.pctile.EJ.DISPARITY.proximity.rmp.eo","region.pctile.EJ.DISPARITY.proximity.tsdf.eo","region.pctile.EJ.DISPARITY.o3.eo","region.pctile.EJ.DISPARITY.pm.eo","region.pctile.ust","us.avg.pctmin","us.avg.pctlowinc","us.avg.pctlths","us.avg.pctlingiso","us.avg.pctunder5","us.avg.pctover64","us.avg.unemployed","us.avg.VSI.eo","us.avg.pctpre1960","us.avg.dpm","us.avg.cancer","us.avg.resp","us.avg.traffic.score","us.avg.proximity.npdes","us.avg.proximity.npl","us.avg.proximity.rmp","us.avg.proximity.tsdf","us.avg.o3","us.avg.pm","us.avg.ust","pctile.pctmin","pctile.pctlowinc","pctile.pctlths","pctile.pctlingiso","pctile.pctunder5","pctile.pctover64","pctile.pctunemployed","pctile.VSI.eo","pctile.pctpre1960","pctile.dpm","pctile.cancer","pctile.resp","pctile.traffic.score","pctile.proximity.npdes","pctile.proximity.npl","pctile.proximity.rmp","pctile.proximity.tsdf","pctile.o3","pctile.pm","pctile.ust","pctile.EJ.DISPARITY.pctpre1960.eo","pctile.EJ.DISPARITY.dpm.eo","pctile.EJ.DISPARITY.cancer.eo","pctile.EJ.DISPARITY.resp.eo","pctile.EJ.DISPARITY.traffic.score.eo","pctile.EJ.DISPARITY.proximity.npdes.eo","pctile.EJ.DISPARITY.proximity.npl.eo","pctile.EJ.DISPARITY.proximity.rmp.eo","pctile.EJ.DISPARITY.proximity.tsdf.eo","pctile.EJ.DISPARITY.o3.eo","pctile.EJ.DISPARITY.pm.eo","pctile.ust","ST","statename","REGION","pop","NUM_NPL","NUM_TSDF","statLayerCount","statLayerZeroPopCount","weightLayerCount","timeSeconds","radius.miles","unit","statlevel","inputAreaMiles","lon.1","lat.1"
11,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-120.9775362,%22y%22:39.077695%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 11</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=39.077695,-120.9775362"", target=""_blank"">EJScreen Map 11</a>",11,"site 11",-120.9775362,39.077695,29,24,5,0,2,20,2,26,0.15,0.0738,30,0.4,240,0.00016,0.062,0.12,0.063,57.8,8.02,0.7,63,31,17,9,6,14,6,47,0.29,0.33,31,0.43,1300,74,0.18,1.1,5.2,48.1,11.7,3.7,13,44,24,17,14,81,17,19,44,4,76,66,44,23,38,9,1,78,5,32,9,21,6,6,11,22,8,18,30,4,11,12,60,31,16,8,6,15,6,46,0.23,0.33,30,0.41,1300,59,0.15,1,4.4,49.6,10.8,3.3,16,43,25,21,14,79,18,21,53,6,75,69,45,23,44,13,3,77,18,35,7,23,7,7,11,24,9,19,32,6,11,12,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,47,43,29,45,15,75,25,43,47,6,83,81,51,34,49,20,9,95,33,40,23,41,17,16,18,35,22,35,46,13,22,24,"CA","CALIFORNIA",9,720,0,0,2,0,52,0.2670253,1,9035,"blockgroup",3.14,-120.9775362,39.077695
12,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-80.1989702,%22y%22:26.1593193%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 12</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=26.1593193,-80.1989702"", target=""_blank"">EJScreen Map 12</a>",12,"site 12",-80.1989702,26.1593193,96,57,23,11,7,12,12,77,0.085,0.6,30,0.4,760,NA,0.51,1.8,0.14,30.6,7.94,20,46,34,12,7,5,20,6,40,0.11,0.338,28,0.36,630,1,0.13,0.79,0.5,32.7,7.64,6.2,94,85,86,79,72,32,89,93,67,92,96,92,76,NA,95,88,42,19,74,91,87,94,93,92,88,NA,98,95,78,91,92,96,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,95,84,85,90,68,35,88,94,53,96,82,78,85,NA,97,91,37,6,40,96,89,98,95,95,94,NA,99,97,81,94,95,99,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,94,86,84,85,66,39,89,93,36,93,83,81,77,NA,95,88,23,3,32,96,83,98,96,96,93,NA,99,97,73,93,95,99,"FL","FLORIDA",4,33632,0,0,20,0,214,0.6139725,1,9035,"blockgroup",3.14,-80.1989702,26.1593193
13,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-121.9936476,%22y%22:37.3617657%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 13</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=37.3617657,-121.9936476"", target=""_blank"">EJScreen Map 13</a>",13,"site 13",-121.9936476,37.3617657,72,12,6,11,8,11,4,42,0.25,0.346,30,0.5,600,2e-04,4.5,0.63,16,36.8,11.1,5.3,63,31,17,9,6,14,6,47,0.29,0.33,31,0.43,1300,74,0.18,1.1,5.2,48.1,11.7,3.7,56,19,27,66,68,43,37,42,54,56,76,92,61,24,99,51,96,15,37,76,53,47,44,46,62,44,98,49,70,42,43,67,60,31,16,8,6,15,6,46,0.23,0.33,30,0.41,1300,59,0.15,1,4.4,49.6,10.8,3.3,60,18,29,70,68,42,38,45,62,55,75,93,63,24,99,56,96,12,49,79,58,51,48,51,63,46,98,54,75,45,48,69,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,78,18,34,84,71,33,46,65,59,71,83,95,72,36,99,65,98,16,91,79,73,71,68,70,77,71,99,72,92,67,70,80,"CA","CALIFORNIA",9,35011,1,2,32,0,338,0.4410662,1,9035,"blockgroup",3.14,-121.9936476,37.3617657
14,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-112.1385784,%22y%22:33.5639171%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 14</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=33.5639171,-112.1385784"", target=""_blank"">EJScreen Map 14</a>",14,"site 14",-112.1385784,33.5639171,63,49,22,6,8,11,10,56,0.11,0.53,40,0.5,450,0.015,0.052,1.4,3.1,56.5,8.35,4.3,45,35,13,4,6,17,6,40,0.084,0.327,32,0.37,550,6.1,0.08,0.65,1.5,54.3,7.35,1.7,72,74,76,76,67,46,80,74,79,87,96,97,70,39,42,87,87,79,70,89,86,85,82,82,83,73,76,89,89,79,80,92,60,31,16,8,6,15,6,46,0.23,0.33,30,0.41,1300,59,0.15,1,4.4,49.6,10.8,3.3,50,79,69,55,69,44,81,67,49,85,98,94,58,47,37,77,52,72,21,74,69,80,77,75,72,64,63,81,68,73,63,82,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,73,80,82,75,71,35,83,79,42,89,97,95,66,72,44,83,80,94,43,75,81,90,88,87,83,87,79,90,89,89,83,88,"AZ","ARIZONA",9,26012,0,1,21,0,254,0.5669902,1,9035,"blockgroup",3.14,-112.1385784,33.5639171
15,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-73.7968597,%22y%22:40.7710143%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 15</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=40.7710143,-73.7968597"", target=""_blank"">EJScreen Map 15</a>",15,"site 15",-73.7968597,40.7710143,58,25,17,25,6,22,5,42,0.72,0.801,30,0.5,820,2.1,0.18,0.12,3.3,42.9,8.54,8.7,44,30,13,8,6,16,5,37,0.55,0.646,29,0.39,870,3.9,0.23,0.5,6.2,41.6,7.9,8.1,64,49,69,89,53,79,55,61,64,61,66,74,69,87,66,22,49,73,61,66,62,63,61,62,65,8,61,58,62,61,61,69,49,32,13,14,6,16,6,41,0.46,0.558,29,0.37,840,2.3,0.28,0.62,4.9,41.8,8.03,9.3,59,50,69,82,54,78,51,57,72,71,76,83,71,92,61,21,57,75,59,66,63,66,57,58,63,5,57,54,64,62,62,71,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,71,46,73,95,48,80,56,65,89,96,83,95,79,94,84,20,80,56,48,87,79,74,64,65,73,4,72,61,77,64,64,80,"NY","NEW YORK",2,54247,0,0,66,0,546,0.7860097,1,9035,"blockgroup",3.14,-73.7968597,40.7710143
16,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-73.9744493,%22y%22:40.7594238%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 16</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=40.7594238,-73.9744493"", target=""_blank"">EJScreen Map 16</a>",16,"site 16",-73.9744493,40.7594238,32,14,3,5,4,20,3,23,0.51,1.65,41,0.67,3000,12,0.2,0.37,30,41.7,9.25,21,44,30,13,8,6,16,5,37,0.55,0.646,29,0.39,870,3.9,0.23,0.5,6.2,41.6,7.9,8.1,47,26,18,59,31,74,42,39,43,98,99,99,93,94,71,60,97,43,96,86,31,4,22,14,3,3,22,18,3,38,32,4,49,32,13,14,6,16,6,41,0.46,0.558,29,0.37,840,2.3,0.28,0.62,4.9,41.8,8.03,9.3,42,29,18,54,33,74,38,36,52,99,99,99,93,97,66,57,98,37,95,84,27,3,23,16,2,1,25,17,2,39,35,4,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,50,23,19,72,27,76,42,37,78,99,98,99,95,97,86,53,99,44,68,96,15,2,28,21,2,1,15,26,0,41,38,1,"NY","NEW YORK",2,170030,0,7,166,5,508,0.896992,1,9035,"blockgroup",3.14,-73.9744493,40.7594238
17,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-84.2653585,%22y%22:34.1147225%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 17</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=34.1147225,-84.2653585"", target=""_blank"">EJScreen Map 17</a>",17,"site 17",-84.2653585,34.1147225,57,16,11,5,7,6,3,36,0.00067,0.42,30,0.4,190,1.2e-06,0.011,0.29,1.6,41.4,9.38,1.6,47,34,13,3,6,14,6,41,0.13,0.294,36,0.46,520,0.079,0.037,0.63,0.42,39.4,8.94,2.1,62,21,50,82,66,15,36,48,18,78,48,47,54,14,33,55,94,65,70,61,37,50,47,48,56,51,47,52,69,48,48,33,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,72,18,50,80,69,9,37,56,16,84,82,78,57,13,9,55,89,70,90,58,45,59,56,56,65,60,55,59,74,56,56,37,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,70,27,56,73,67,12,39,59,11,80,83,81,46,9,5,48,66,41,71,55,51,61,59,59,64,61,58,61,68,59,60,38,"GA","GEORGIA",4,11854,0,0,6,0,62,0.2939775,1,9035,"blockgroup",3.14,-84.2653585,34.1147225
18,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-80.8056812,%22y%22:28.5993399%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 18</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=28.5993399,-80.8056812"", target=""_blank"">EJScreen Map 18</a>",18,"site 18",-80.8056812,28.5993399,47,39,16,1,6,24,12,43,0.13,0.177,20,0.3,380,NA,0.021,0.67,0.32,32.7,6.49,9.9,46,34,12,7,5,20,6,40,0.11,0.338,28,0.36,630,1,0.13,0.79,0.5,32.7,7.64,6.2,56,63,72,30,64,74,89,60,73,16,28,45,57,NA,14,61,69,49,0,79,64,53,54,55,51,NA,52,66,64,56,54,76,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,65,60,68,52,61,82,88,66,64,36,13,27,72,NA,33,72,60,16,2,90,66,62,61,61,60,NA,61,75,70,62,61,86,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,63,68,71,46,58,85,89,67,44,33,32,47,62,NA,18,66,37,6,7,89,66,64,63,64,60,NA,62,74,66,64,64,87,"FL","FLORIDA",4,4692,0,0,6,0,136,0.324002,1,9035,"blockgroup",3.14,-80.8056812,28.5993399
19,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-117.0559349,%22y%22:32.5453695%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 19</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=32.5453695,-117.0559349"", target=""_blank"">EJScreen Map 19</a>",19,"site 19",-117.0559349,32.5453695,98,61,42,30,8,7,10,80,0.11,0.296,45,0.4,1900,2,0.011,0.16,1.1,39.3,9.71,5.6,63,31,17,9,6,14,6,47,0.29,0.33,31,0.43,1300,74,0.18,1.1,5.2,48.1,11.7,3.7,95,89,90,94,74,22,81,94,40,46,98,66,81,81,0,14,18,21,15,78,73,87,98,93,94,91,50,60,62,89,90,94,60,31,16,8,6,15,6,46,0.23,0.33,30,0.41,1300,59,0.15,1,4.4,49.6,10.8,3.3,95,89,91,95,74,22,82,94,49,46,98,69,83,82,7,20,24,16,33,80,77,88,98,93,94,92,56,64,67,89,91,95,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,96,89,96,96,76,16,84,95,42,62,98,81,91,94,6,28,57,28,78,80,87,94,98,97,98,98,74,80,88,96,97,95,"CA","CALIFORNIA",9,14053,0,0,10,0,82,0.2949839,1,9035,"blockgroup",3.14,-117.0559349,32.5453695
20,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-85.6861759,%22y%22:33.3003255%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 20</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=33.3003255,-85.6861759"", target=""_blank"">EJScreen Map 20</a>",20,"site 20",-85.6861759,33.3003255,46,64,14,0,6,16,2,55,0.27,0.091,30,0.4,NA,0.00034,0.022,0.12,0.47,38.2,8.63,0.37,34,37,14,1,6,17,6,36,0.18,0.216,34,0.47,230,0.42,0.054,0.41,0.83,39.1,8.9,1.7,71,89,55,70,57,52,29,80,79,9,55,38,NA,45,31,38,54,42,32,40,88,74,80,80,NA,78,79,76,80,83,82,74,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,64,91,62,51,58,56,28,78,82,7,82,78,NA,53,34,26,67,49,68,32,88,66,75,75,NA,79,71,67,79,76,76,67,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,62,91,66,45,56,59,29,78,60,10,83,81,NA,40,19,20,43,22,50,32,82,67,77,78,NA,75,69,67,72,76,77,69,"AL","ALABAMA",4,33,0,0,1,0,5,0.2280248,1,9035,"blockgroup",3.14,-85.6861759,33.3003255
21,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-77.3404108,%22y%22:39.6324643%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 21</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=39.6324643,-77.3404108"", target=""_blank"">EJScreen Map 21</a>",21,"site 21",-77.3404108,39.6324643,1,22,13,0,1,17,10,12,0.3,0.152,20,0.3,100,7.8e-07,0.043,0.056,0.17,42.2,8.14,0,49,22,10,3,6,15,5,35,0.28,0.317,30,0.37,720,0.48,0.13,0.67,3.4,44.1,8.18,1.8,0,62,72,47,7,66,88,13,64,8,8,33,29,24,14,2,9,16,30,24,18,40,38,34,31,35,39,46,46,32,30,63,33,27,10,3,6,16,5,30,0.35,0.267,30,0.34,680,33,0.15,0.63,1.9,41.9,8.2,2.7,4,49,70,55,8,57,85,16,53,22,20,52,31,11,23,5,25,52,42,17,30,45,47,40,40,62,46,59,47,37,38,73,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,2,40,63,45,8,64,84,11,63,26,32,47,34,9,36,5,26,49,37,16,17,35,36,32,32,54,33,49,39,30,31,63,"MD","MARYLAND",3,118,0,0,1,0,16,0.2409792,1,9035,"blockgroup",3.14,-77.3404108,39.6324643
22,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-84.1077797,%22y%22:35.9234253%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 22</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=35.9234253,-84.1077797"", target=""_blank"">EJScreen Map 22</a>",22,"site 22",-84.1077797,35.9234253,19,14,4,2,4,20,2,16,0.052,0.46,40,0.5,71,0.00016,0.06,0.41,1.3,43.1,8.38,0.95,26,35,13,2,6,16,5,31,0.19,0.231,32,0.4,290,0.035,0.07,0.53,0.6,42.6,8.2,1.3,56,15,18,77,33,72,25,24,28,94,96,96,42,50,73,68,86,59,60,62,36,5,13,14,29,30,11,10,2,20,20,19,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,32,14,19,62,36,71,21,16,43,88,98,96,37,46,65,62,85,87,60,47,19,4,9,9,25,27,12,10,3,12,14,22,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,34,23,24,54,35,74,22,22,29,84,97,95,28,34,49,55,62,58,43,45,33,3,6,6,32,35,18,11,9,13,13,24,"TN","TENNESSEE",4,3881,0,1,5,0,84,0.2599707,1,9035,"blockgroup",3.14,-84.1077797,35.9234253
23,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-74.1953145,%22y%22:40.4179275%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 23</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=40.4179275,-74.1953145"", target=""_blank"">EJScreen Map 23</a>",23,"site 23",-74.1953145,40.4179275,23,17,9,7,5,21,3,20,0.34,0.369,30,0.3,1400,0.12,0.17,0.09,0.63,42.6,7.95,14,45,23,10,7,6,16,6,34,0.4,0.511,29,0.38,860,0.22,0.44,0.76,3.3,42.1,8.32,15,32,51,59,69,43,79,29,36,43,44,90,44,84,90,41,18,33,68,27,66,33,32,32,39,6,5,32,46,35,35,36,10,49,32,13,14,6,16,6,41,0.46,0.558,29,0.37,840,2.3,0.28,0.62,4.9,41.8,8.03,9.3,33,36,46,60,45,76,29,31,37,49,76,52,83,85,59,14,28,67,40,75,33,22,22,28,6,8,20,37,33,29,29,6,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,39,30,50,78,39,78,32,30,67,74,83,47,88,85,82,13,48,53,32,93,21,18,27,33,5,8,11,45,27,31,33,2,"NJ","NEW JERSEY",2,11264,0,0,16,0,281,0.4239973,1,9035,"blockgroup",3.14,-74.1953145,40.4179275
24,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-97.1175193,%22y%22:32.7547495%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 24</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=32.7547495,-97.1175193"", target=""_blank"">EJScreen Map 24</a>",24,"site 24",-97.1175193,32.7547495,60,44,20,13,7,15,5,52,0.25,0.275,33,0.4,1200,0.0098,0.07,0.33,0.91,44,9.78,5.2,58,34,16,8,7,12,5,46,0.15,0.214,31,0.36,510,0.33,0.084,0.92,0.72,40,9.57,2.2,51,67,67,77,55,70,56,59,79,73,87,95,90,74,66,41,76,76,54,88,80,69,62,65,86,82,70,53,79,64,62,83,52,36,15,6,7,13,5,44,0.16,0.219,32,0.37,470,0.5,0.08,0.83,0.8,41.1,9.32,2,59,65,70,83,57,63,54,64,77,72,84,85,91,74,69,46,72,71,61,89,82,74,69,70,89,84,75,60,81,70,69,87,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,72,74,80,87,66,52,54,75,58,57,88,81,85,69,54,51,54,67,79,78,82,79,80,80,90,87,79,72,79,80,81,87,"TX","TEXAS",6,13517,0,0,15,0,209,0.4759967,1,9035,"blockgroup",3.14,-97.1175193,32.7547495
25,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-76.9043983,%22y%22:38.5704886%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 25</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=38.5704886,-76.9043983"", target=""_blank"">EJScreen Map 25</a>",25,"site 25",-76.9043983,38.5704886,86,7,2,1,8,8,3,46,0.012,0.171,30,0.4,280,NA,0.073,0.075,0.99,40.9,7.52,0.2,49,22,10,3,6,15,5,35,0.28,0.317,30,0.37,720,0.48,0.13,0.67,3.4,44.1,8.18,1.8,79,17,14,53,74,21,30,66,11,13,90,98,47,NA,44,8,29,4,12,32,66,84,97,98,82,NA,89,72,75,97,97,71,33,27,10,3,6,16,5,30,0.35,0.267,30,0.34,680,33,0.15,0.63,1.9,41.9,8.2,2.7,90,12,13,62,77,16,32,79,7,27,85,95,51,NA,46,10,59,35,23,29,76,90,98,98,88,NA,91,80,89,98,97,79,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,86,8,12,50,74,19,31,70,14,31,83,81,54,NA,55,9,56,37,21,27,69,85,94,94,85,NA,88,71,85,94,92,70,"MD","MARYLAND",3,2517,0,0,1,0,28,0.25798,1,9035,"blockgroup",3.14,-76.9043983,38.5704886
